canton_id;canton;municipality_id;municipality;registered_voters;cast_ballots;participation_rate;blank_votes;invalid_votes;valid_ballots;yes;no;yes_perc
10;Fribourg / Freiburg;2276;Ried bei Kerzers;818;520;63.6;4;0;516;304;212;58.9
10;Fribourg / Freiburg;2278;Ulmiz;343;198;57.7;3;0;195;107;88;54.9
10;Fribourg / Freiburg;2284;Mont-Vully;2'909;1'634;56.2;19;18;1'597;893;704;55.9
10;Fribourg / Freiburg;2292;Brnisried;529;237;44.8;2;0;235;153;82;65.1
10;Fribourg / Freiburg;2293;Ddingen;5'999;3'370;56.2;14;0;3'356;1'733;1'623;51.6
10;Fribourg / Freiburg;2294;Giffers;1'188;629;52.9;4;0;625;412;213;65.9
10;Fribourg / Freiburg;2295;B”singen;2'536;1'408;55.5;6;1;1'401;884;517;63.1
10;Fribourg / Freiburg;2296;Heitenried;1'074;532;49.5;3;0;529;306;223;57.8
10;Fribourg / Freiburg;2299;Plaffeien;2'886;1'375;47.6;11;0;1'364;846;518;62
10;Fribourg / Freiburg;2300;Plasselb;809;397;49.1;0;0;397;275;122;69.3
10;Fribourg / Freiburg;2301;Rechthalten;876;431;49.2;1;0;430;267;163;62.1
10;Fribourg / Freiburg;2303;St. Silvester;753;367;48.7;5;0;362;278;84;76.8
10;Fribourg / Freiburg;2304;St. Ursen;995;599;60.2;7;0;592;320;272;54.1
10;Fribourg / Freiburg;2305;Schmitten (FR);3'065;1'703;55.6;6;0;1'697;812;885;47.8
10;Fribourg / Freiburg;2306;Tafers;5'548;2'643;47.6;9;3;2'631;1'508;1'123;57.3
10;Fribourg / Freiburg;2307;Tentlingen;1'011;522;51.6;4;0;518;337;181;65.1
10;Fribourg / Freiburg;2308;Ueberstorf;1'871;1'122;60;6;0;1'116;658;458;59
10;Fribourg / Freiburg;2309;Wnnewil-Flamatt;3'608;1'893;52.5;8;2;1'883;939;944;49.9
10;Fribourg / Freiburg;2321;Attalens;2'263;1'193;52.7;14;5;1'174;615;559;52.4
10;Fribourg / Freiburg;2323;Bossonnens;891;450;50.5;7;8;435;226;209;52
10;Fribourg / Freiburg;2325;Chƒtel-Saint-Denis;4'205;2'359;56.1;32;15;2'312;1'340;972;58
10;Fribourg / Freiburg;2328;Granges (Veveyse);589;419;71.1;15;0;404;195;209;48.3
10;Fribourg / Freiburg;2333;Remaufens;756;413;54.6;2;0;411;243;168;59.1
10;Fribourg / Freiburg;2335;Saint-Martin (FR);740;379;51.2;5;1;373;204;169;54.7
10;Fribourg / Freiburg;2336;Semsales;1'013;585;57.7;7;1;577;382;195;66.2
10;Fribourg / Freiburg;2337;Le Flon;802;470;58.6;6;1;463;279;184;60.3
10;Fribourg / Freiburg;2338;La Verrerie;855;459;53.7;8;4;447;280;167;62.6
11;Solothurn;2401;Egerkingen;2'205;1'093;49.6;1;1;1'091;699;392;64.1
11;Solothurn;2402;H„rkingen;1'115;644;57.8;3;0;641;417;224;65.1
11;Solothurn;2403;Kestenholz;1'372;822;59.9;6;1;815;446;369;54.7
11;Solothurn;2404;Neuendorf;1'610;862;53.5;4;0;858;507;351;59.1
11;Solothurn;2405;Niederbuchsiten;893;413;46.2;4;0;409;266;143;65
11;Solothurn;2406;Oberbuchsiten;1'406;662;47.1;2;0;660;369;291;55.9
11;Solothurn;2407;Oensingen;3'343;1'600;47.9;6;0;1'594;981;613;61.5
11;Solothurn;2408;Wolfwil;1'726;915;53;14;0;901;530;371;58.8
11;Solothurn;2421;Aedermannsdorf;468;308;65.8;2;1;305;197;108;64.6
11;Solothurn;2422;Balsthal;3'472;1'890;54.4;8;0;1'882;1'136;746;60.4
11;Solothurn;2424;Herbetswil;441;219;49.7;1;0;218;133;85;61
11;Solothurn;2425;Holderbank (SO);530;251;47.4;4;1;246;166;80;67.5
11;Solothurn;2426;Laupersdorf;1'328;761;57.3;6;1;754;456;298;60.5
11;Solothurn;2427;Matzendorf;1'031;555;53.8;4;1;550;357;193;64.9
11;Solothurn;2428;Mmliswil-Ramiswil;1'858;1'048;56.4;1;0;1'047;692;355;66.1
11;Solothurn;2430;Welschenrohr-G„nsbrunnen;884;470;53.2;2;0;468;276;192;59
11;Solothurn;2445;Biezwil;261;135;51.7;2;0;133;92;41;69.2
11;Solothurn;2455;Lterkofen-Ichertswil;704;338;48;4;0;334;178;156;53.3
11;Solothurn;2456;Lterswil-G„chliwil;277;152;54.9;0;1;151;91;60;60.3
11;Solothurn;2457;Messen;1'139;562;49.3;2;1;559;337;222;60.3
11;Solothurn;2461;Schnottwil;890;453;50.9;2;0;451;264;187;58.5
11;Solothurn;2463;Unterramsern;177;99;55.9;0;0;99;52;47;52.5
11;Solothurn;2464;Lsslingen-Nennigkofen;812;439;54.1;2;0;437;197;240;45.1
11;Solothurn;2465;Buchegg;2'041;1'117;54.7;6;1;1'110;588;522;53
11;Solothurn;2471;B„ttwil;826;424;51.3;3;1;420;235;185;56
11;Solothurn;2472;Bren (SO);751;415;55.3;3;2;410;221;189;53.9
11;Solothurn;2473;Dornach;4'317;2'429;56.3;27;5;2'397;1'042;1'355;43.5
11;Solothurn;2474;Gempen;615;362;58.9;5;0;357;170;187;47.6
11;Solothurn;2475;Hochwald;952;615;64.6;5;1;609;343;266;56.3
11;Solothurn;2476;Hofstetten-Flh;2'201;1'149;52.2;13;2;1'134;653;481;57.6
11;Solothurn;2477;Metzerlen-Mariastein;710;399;56.2;7;0;392;193;199;49.2
11;Solothurn;2478;Nuglar-St. Pantaleon;1'188;646;54.4;2;1;643;347;296;54
11;Solothurn;2479;Rodersdorf;1'037;630;60.8;12;0;618;286;332;46.3
11;Solothurn;2480;Seewen;838;441;52.6;6;0;435;281;154;64.6
